Location,CowTagID,lat,lon,del15N,C_N,N_percent,V_cluster_turb
Varari,V1,-17.53975298,-149.900506,0.3615093403808462,0.6337141748913542,-0.9157047436477013,Low
Varari,V2,-17.53989003,-149.900519,0.11408397002096266,-0.045536053805689626,-0.026140751241579562,Mid
Varari,V3,-17.54012598,-149.90056,-0.41634167195345456,0.02919559210783197,0.2560944911454933,Mid
Varari,V4,-17.54024902,-149.900454,-0.5572210684013409,-0.8147320556475425,0.9485540209071136,Mid
Varari,V5,-17.54025003,-149.900336,-0.2789325667032945,0.6340768300431645,-0.669746734930855,Low
Varari,V6,-17.54002498,-149.900106,0.7132136659701844,-0.2912275787171581,0.19675988992536184,Mid
Varari,V7,-17.54004803,-149.899985,0.5984250969515863,-0.296025727125252,-0.49577764502419136,Mid
Varari,V8,-17.54014903,-149.899896,1.0440533452179483,-1.5639402461178635,1.8544645153260153,High
Varari,V9,-17.540245,-149.899765,-1.0025527063811859,1.7361424722702066,-1.393449364428207,Low
Varari,V10,-17.54030501,-149.899788,-0.41634167195345456,0.3805570815770464,-0.6455440947051339,Low
Varari,V11,-17.54019303,-149.900068,0.2391683051401175,-1.1600614227498125,1.1904600221436499,Mid
Varari,V12,-17.54030996,-149.900112,-0.7017505933064014,-0.3563364366978509,0.43634124747259656,Mid
Varari,V13,-17.540749,-149.899133,-1.0025527063811859,1.1573456299838172,-0.895567037526201,Low
Varari,V14,-17.54039696,-149.899396,0.2391683051401175,1.2726256675503043,-1.390760286020902,Low
Varari,V15,-17.54014299,-149.900183,0.3615093403808462,-0.6545958768390064,0.7679518959671522,Mid
Varari,V16,-17.54029797,-149.900492,-0.8501244359021413,1.700462258245775,-1.5273298492757832,Low
Varari,V17,-17.54031901,-149.899572,-0.01386952060648546,-0.44037431387885173,0.24711992046975817,Mid
Varari,V18,-17.54019697,-149.899906,-0.01386952060648546,-0.9745287474327659,1.0164403175170131,Mid
Varari,V19,-17.54050802,-149.89978,-1.1592632253248074,0.55006481475679,-0.12860836086993524,Low
Varari,V20,-17.54045103,-149.899509,-0.7017505933064014,0.3547661063609992,-0.5525545914248376,Low
Varari,VSEEP,-17.540302,-149.899331,3.44343891162404,-1.8515921687754988,1.7269971382211589,High
